	en	fr	es
navbar_tools	Tools	Outils	Herramientas
navbar_about	About	A propos	Sobre nosotros
navbar_tuto	Tutorial	Tutoriel	Tutorial
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_classroom	Classroom	Salle de cours	Aula
navbar_quiz	Interactive	Interactif	Interactivo
navbar_analysis	Analysis	Analyse	Análisis
navbar_keyframes	Keyframes	Images clés	Imágenes claves
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas
navbar_twitter	Tw. search	Recherche Tw.	Búsqueda Tw.
navbar_magnifier	Magnifier	Loupe	Lupa
navbar_metadata	Metadata	Metadonnées	Metadatos
navbar_rights	Video rights	Droits vidéo	Derechos video
navbar_forensic	Forensic	Forensic	Forensic
navbar_factCheck	Fact Check	Factuel	Factual
navbar_covidsearch	Covid-19 SE	Rech. Covid-19	Búsq. Covid-19
navbar_assistant	Assistant	Assistant	Asistente
cookies_decline	Decline	Refuser	Rechazar
cookies_accept	Accept	Accepter	Aceptar
cookies_message	The plugin needs your autorisation to use cookies to enhance your user experience.	Cette extension a besoin de votre autorisation pour utiliser des cookies afin d'améliorer votre expérience utilisateur.	El plugin necesita su autorización para utilizar cookies para mejorar su experiencia de usuario.
